month	page_namespace	n
200605	4	4861
200605	5	146
200605	6	379
200605	10	293
200605	11	6
200605	12	4
200605	13	2
200605	14	2482
200605	15	1
200605	100	71
200605	118	2
200606	0	128952
200606	1	1708
200606	2	8560
200606	3	19854
200606	4	9530
200606	5	377
200606	6	771
200606	9	2
200606	10	369
200606	11	75
200606	12	12
200606	13	3
200606	14	6079
200606	15	236
200606	100	188
200606	101	2
200606	118	3
200607	0	187336
200607	1	4570
200607	2	17743
200607	3	29761
200607	4	11717
200607	5	128
200607	6	496
200607	7	304
200607	8	2
200607	10	223
200607	11	10
200607	12	12
200607	14	2112
200607	15	800
200607	100	104
200607	101	16
200607	118	3
200608	0	235882
200608	1	165510
200608	2	18020
200608	3	31382
200608	4	23270
200608	5	266
200608	6	672
200608	7	365
200608	8	2
200608	10	376
200608	11	51
200608	12	10
200608	13	1
200608	14	5872
200608	15	5330
200608	100	239
200608	101	19
200608	118	6
200608	119	5
200609	0	172062
200609	1	51458
200609	2	20637
200609	3	32904
200609	4	28595
200609	5	303
200609	6	468
200609	7	6
200609	10	555
200609	11	15
200609	12	58
200609	13	7
200609	14	10916
200609	15	285
200609	100	130
200609	101	3
200609	118	7
200610	0	197942
200610	1	37727
200610	2	25252
200610	3	46119
200610	4	38688
200610	5	327
200610	6	551
200610	7	1
200610	8	2
200610	9	1
200610	10	359
200610	11	86
200610	12	44
200610	13	4
200610	14	13379
200610	15	130
200610	100	81
200610	101	1
200610	118	8
200610	119	3
200611	0	190284
200611	1	23708
200611	2	8319
200611	3	43903
200611	4	43850
200611	5	448
200611	6	678
200611	7	6
200611	9	6
200611	10	294
200611	11	63
200611	12	51
200611	13	3
200611	14	9306
200611	15	716
200611	100	124
200611	101	1
200611	118	3
200611	119	1
200612	0	224928
200612	1	22643
200612	2	11293
200612	3	48316
200612	4	55106
200612	5	1571
200612	6	1069
200612	7	221
200612	9	29
200612	10	267
200612	11	147
200612	12	116
200612	13	92
200612	14	15147
200612	15	433
200612	100	191
200612	101	37
200612	118	5
200701	0	210826
200701	1	52392
200701	2	29261
200701	3	56957
200701	4	79883
200701	5	1253
200701	6	836
200701	7	107
200701	9	27
200701	10	809
200701	11	144
200701	12	14
200701	13	9
200701	14	6802
200701	15	1728
200701	100	212
200701	101	42
200701	118	5
200701	119	2
200702	0	228802
200702	1	73292
200702	2	58606
200702	3	57263
200702	4	83119
200702	5	1557
200702	6	588
200702	7	116
200702	9	15
200702	10	1009
200702	11	168
200702	12	7
200702	13	12
200702	14	10445
200702	15	709
200702	100	131
200702	101	49
200702	118	5
200702	829	2
200703	0	256659
200703	1	127735
200703	2	31228
200703	3	61516
200703	4	77820
200703	5	1772
200703	6	1205
200703	7	558
200703	9	14
200703	10	917
200703	11	314
200703	12	26
200703	13	17
200703	14	14136
200703	15	2452
200703	100	181
200703	101	34
200703	118	5
200703	119	1
200704	0	263919
200704	1	233540
200704	2	29951
200704	3	60748
200704	4	82994
200704	5	1796
200704	6	766
200704	7	99
200704	9	33
200704	10	593
200704	11	136
200704	12	32
200704	13	12
200704	14	21148
200704	15	1217
200704	100	210
200704	101	49
200704	118	13
200704	119	1
200705	0	219656
200705	1	42417
200705	2	32618
200705	3	118076
200705	4	109921
200705	5	3186
200705	6	1330
200705	7	98
200705	9	104
200705	10	744
200705	11	422
200705	12	39
200705	13	37
200705	14	15888
200705	15	189
200705	100	742
200705	101	99
200705	118	3
200705	119	2
200705	829	2
200706	0	240879
200706	1	94549
200706	2	29179
200706	3	96590
200706	4	80794
200706	5	1683
200706	6	7091
200706	7	422
200706	9	46
200706	10	834
200706	11	109
200706	12	21
200706	13	4
200706	14	6157
200706	15	294
200706	100	253
200706	101	62
200706	118	3
200707	0	234751
200707	1	68289
200707	2	28536
200707	3	68371
200707	4	71153
200707	5	1756
200707	6	2847
200707	7	3
200707	9	33
200707	10	944
200707	11	75
200707	12	9
200707	13	2
200707	14	5963
200707	15	7
200707	100	158
200707	101	36
200707	118	4
200707	829	1
200708	0	261979
200708	1	79014
200708	2	29845
200708	3	60578
200708	4	72409
200708	5	2138
200708	6	1221
200708	7	93
200708	9	36
200708	10	1727
200708	11	116
200708	12	5
200708	13	5
200708	14	6409
200708	15	407
200708	100	261
200708	101	33
200708	118	4
200708	119	1
200709	0	301321
200709	1	95315
200709	2	28828
200709	3	74366
200709	4	84530
200709	5	2373
200709	6	3404
200709	7	43
200709	9	42
200709	10	1256
200709	11	316
200709	12	14
200709	13	20
200709	14	8102
200709	15	156
200709	100	562
200709	101	66
200709	118	6
200709	119	5
200710	0	359698
200710	1	83439
200710	2	42264
200710	3	90546
200710	4	84087
200710	5	2431
200710	6	6298
200710	7	99
200710	9	35
200710	10	1512
200710	11	317
200710	12	11
200710	13	25
200710	14	6448
200710	15	496
200710	100	212
200710	101	72
200710	118	10
200710	119	3
200711	0	327680
200711	1	89862
200711	2	42113
200711	3	78479
200711	4	103604
200711	5	2327
200711	6	3871
200711	7	55
200711	9	47
200711	10	1524
200711	11	295
200711	12	21
200711	13	17
200711	14	19685
200711	15	145
200711	100	202
200711	101	38
200711	118	6
200712	0	422958
200712	1	50460
200712	2	50603
200712	3	63732
200712	4	100868
200712	5	2442
200712	6	14526
200712	7	36
200712	9	34
200712	10	1813
200712	11	206
200712	12	9
200712	13	15
200712	14	8080
200712	15	2843
200712	100	621
200712	101	71
200712	118	8
200801	0	230078
200801	1	152567
200801	2	49339
200801	3	102390
200801	4	86310
200801	5	2897
200801	6	11401
200801	7	94
200801	9	32
200801	10	1810
200801	11	254
200801	12	10
200801	13	22
200801	14	5437
200801	15	170
200801	100	1230
200801	101	79
200801	118	3
200801	119	5
200801	829	3
200802	0	273265
200802	1	79604
200802	2	44646
200802	3	106222
200802	4	119235
200802	5	3514
200802	6	9317
200802	7	107
200802	9	22
200802	10	1324
200802	11	246
200802	12	23
200802	13	37
200802	14	10051
200802	15	62
200802	100	1905
200802	101	242
200802	118	3
200802	829	6
200803	0	516024
200803	1	86989
200803	2	55233
200803	3	73871
200803	4	111692
200803	5	3076
200803	6	7103
200803	7	124
200803	9	17
200803	10	2375
200803	11	579
200803	12	97
200803	13	32
200803	14	18260
200803	15	797
200803	100	2122
200803	101	159
200803	118	6
200803	829	2
200804	0	232191
200804	1	44534
200804	2	54418
200804	3	86591
200804	4	91605
200804	5	3361
200804	6	20535
200804	7	83
200804	9	25
200804	10	4424
200804	11	174
200804	12	22
200804	13	49
200804	14	35731
200804	15	640
200804	100	2121
200804	101	93
200804	118	2
200804	829	2
200805	0	294783
200805	1	103580
200805	2	41807
200805	3	75914
200805	4	121031
200805	5	3349
200805	6	6026
200805	7	257
200805	9	34
200805	10	4573
200805	11	284
200805	12	14
200805	13	65
200805	14	15917
200805	15	1132
200805	100	2151
200805	101	115
200805	118	7
200805	119	2
200806	0	364892
200806	1	126181
200806	2	36505
200806	3	52925
200806	4	132465
200806	5	3245
200806	6	2584
200806	7	128
200806	9	18
200806	10	2984
200806	11	379
200806	12	13
200806	13	49
200806	14	26672
200806	15	2245
200806	100	2179
200806	101	73
200806	118	21
200806	119	2
200807	0	334847
200807	1	83413
200807	2	34327
200807	3	44933
200807	4	124429
200807	5	4564
200807	6	2032
200807	7	99
200807	9	12
200807	10	12418
200807	11	534
200807	12	5
200807	13	47
200807	14	20542
200807	15	783
200807	100	2149
200807	101	64
200807	118	4
200807	119	2
200808	0	367928
200808	1	39562
200808	2	42777
200808	3	78857
200808	4	115091
200808	5	3343
200808	6	2460
200808	7	77
200808	9	17
200808	10	3554
200808	11	358
200808	12	35
200808	13	53
200808	14	17627
200808	15	4237
200808	100	1701
200808	101	100
200808	118	4
200808	119	2
200809	0	580027
200809	1	63885
200809	2	41651
200809	3	45633
200809	4	138520
200809	5	4564
200809	6	7960
200809	7	882
200809	9	8
200809	10	3083
200809	11	789
200809	12	4
200809	13	44
200809	14	13363
200809	15	1377
200809	100	2241
200809	101	83
200809	118	6
200809	119	2
200810	0	487725
200810	1	40701
200810	2	44727
200810	3	47738
200810	4	126934
200810	5	3484
200810	6	9678
200810	7	87
200810	9	32
200810	10	2972
200810	11	231
200810	12	425
200810	13	39
200810	14	23075
200810	15	122
200810	100	1896
200810	101	94
200810	118	6
200810	119	3
200810	829	1
200811	0	417220
200811	1	127525
200811	2	52511
200811	3	41512
200811	4	84902
200811	5	3110
200811	6	13056
200811	7	94
200811	9	27
200811	10	3244
200811	11	225
200811	12	10
200811	13	43
200811	14	19171
200811	15	160
200811	100	1974
200811	101	79
200811	118	4
200811	829	17
200812	0	404104
200812	1	88925
200812	2	45086
200812	3	39995
200812	4	115285
200812	5	2971
200812	6	11694
200812	7	43
200812	9	24
200812	10	3957
200812	11	204
200812	12	5
200812	13	17
200812	14	16956
200812	15	209
200812	100	2136
200812	101	51
200812	118	4
200812	119	1
200812	829	23
200901	0	315092
200901	1	100894
200901	2	43016
200901	3	50188
200901	4	97923
200901	5	3717
200901	6	8164
200901	7	5
200901	9	23
200901	10	5005
200901	11	481
200901	12	46
200901	13	48
200901	14	17857
200901	15	2265
200901	100	3302
200901	101	61
200901	118	2
200901	829	29
200902	0	399362
200902	1	85573
200902	2	45748
200902	3	48999
200902	4	78102
200902	5	4900
200902	6	22865
200902	7	66
200902	9	32
200902	10	3399
200902	11	634
200902	12	4
200902	13	50
200902	14	23011
200902	15	272
200902	100	2360
200902	101	51
200902	118	8
200902	119	2
200902	829	26
200903	0	342544
200903	1	278188
200903	2	52242
200903	3	51814
200903	4	117846
200903	5	5690
200903	6	43177
200903	7	142
200903	9	29
200903	10	3168
200903	11	508
200903	12	28
200903	13	48
200903	14	25280
200903	15	5757
200903	100	2259
200903	101	86
200903	118	11
200903	119	4
200903	829	21
200904	0	285096
200904	1	168551
200904	2	47296
200904	3	38130
200904	4	122154
200904	5	4146
200904	6	3979
200904	7	154
200904	9	23
200904	10	3288
200904	11	661
200904	12	21
200904	13	60
200904	14	16531
200904	15	2896
200904	100	1671
200904	101	77
200904	118	24
200904	119	4
200904	829	31
200905	0	447127
200905	1	197795
200905	2	38993
200905	3	40089
200905	4	108409
200905	5	4489
200905	6	1198
200905	7	113
200905	9	46
200905	10	4797
200905	11	780
200905	12	42
200905	13	72
200905	14	19155
200905	15	919
200905	100	1990
200905	101	110
200905	118	22
200905	829	28
200906	0	329146
200906	1	164222
200906	2	47701
200906	3	35988
200906	4	133904
200906	5	3815
200906	6	3239
200906	7	111
200906	9	44
200906	10	8445
200906	11	389
200906	12	17
200906	13	50
200906	14	20774
200906	15	1374
200906	100	2726
200906	101	1032
200906	118	10
200906	119	1
200906	829	15
200907	0	273746
200907	1	117150
200907	2	46982
200907	3	32742
200907	4	139055
200907	5	4190
200907	6	11160
200907	7	667
200907	9	26
200907	10	6925
200907	11	1128
200907	12	10
200907	13	40
200907	14	14027
200907	15	3038
200907	100	1569
200907	101	64
200907	118	2
200907	119	2
200907	829	5
200908	0	303888
200908	1	64867
200908	2	44079
200908	3	37289
200908	4	141822
200908	5	4333
200908	6	342
200908	7	204
200908	9	22
200908	10	16152
200908	11	2105
200908	12	6
200908	13	45
200908	14	14520
200908	15	2646
200908	100	1879
200908	101	56
200908	118	5
200908	119	1
200908	829	16
200909	0	413731
200909	1	71686
200909	2	36344
200909	3	37627
200909	4	134676
200909	5	4189
200909	6	38060
200909	7	57
200909	9	82
200909	10	22493
200909	11	384
200909	12	29
200909	13	28
200909	14	13841
200909	15	455
200909	100	1725
200909	101	34
200909	118	6
200909	829	3
200910	0	285818
200910	1	132472
200910	2	44758
200910	3	34841
200910	4	135125
200910	5	4229
200910	6	145
200910	7	9202
200910	9	38
200910	10	4323
200910	11	533
200910	12	12
200910	13	46
200910	14	16583
200910	15	777
200910	100	1302
200910	101	460
200910	108	96
200910	118	2
200910	829	4
200911	0	313364
200911	1	51234
200911	2	40380
200911	3	32294
200911	4	130345
200911	5	3536
200911	6	370
200911	7	70
200911	9	23
200911	10	3243
200911	11	337
200911	12	33
200911	13	40
200911	14	20740
200911	15	468
200911	100	1389
200911	101	55
200911	118	2
200911	119	2
200911	829	18
200912	0	917419
200912	1	140733
200912	2	38691
200912	3	32795
200912	4	125967
200912	5	3588
200912	6	1852
200912	7	290
200912	9	22
200912	10	3558
200912	11	518
200912	12	82
200912	13	33
200912	14	21085
200912	15	3268
200912	100	2416
200912	101	102
200912	118	15
200912	119	6
200912	829	8
201001	0	218885
201001	1	111103
201001	2	59601
201001	3	72252
201001	4	107531
201001	5	5626
201001	6	153
201001	7	154
201001	9	35
201001	10	2491
201001	11	379
201001	12	3
201001	13	59
201001	14	18374
201001	15	3264
201001	100	2533
201001	101	81
201001	108	8
201001	109	6
201001	118	2
201001	119	2
201001	829	7
201002	0	314302
201002	1	56153
201002	2	55600
201002	3	35019
201002	4	69833
201002	5	3461
201002	6	899
201002	7	150
201002	9	28
201002	10	4426
201002	11	403
201002	12	15
201002	13	58
201002	14	27769
201002	15	373
201002	100	1569
201002	101	84
201002	108	6
201002	109	119
201002	118	2
201002	119	2
201002	829	6
201003	0	286935
201003	1	154872
201003	2	54206
201003	3	46240
201003	4	76004
201003	5	3912
201003	6	12595
201003	7	1696
201003	9	30
201003	10	2772
201003	11	1294
201003	12	21
201003	13	55
201003	14	31335
201003	15	2394
201003	100	1807
201003	101	110
201003	108	534
201003	109	852
201003	118	5
201003	119	7
201003	829	5
201004	0	341633
201004	1	252245
201004	2	63700
201004	3	35295
201004	4	87332
201004	5	4786
201004	6	3245
201004	7	133
201004	9	34
201004	10	5506
201004	11	610
201004	12	22
201004	13	50
201004	14	20372
201004	15	1787
201004	100	9218
201004	101	86
201004	108	661
201004	109	216
201004	118	7
201004	119	4
201004	829	19
201005	0	327065
201005	1	121012
201005	2	67444
201005	3	36531
201005	4	77337
201005	5	4144
201005	6	593
201005	7	700
201005	9	23
201005	10	6581
201005	11	697
201005	12	38
201005	13	51
201005	14	22713
201005	15	2931
201005	100	2018
201005	101	78
201005	108	2630
201005	109	512
201005	118	1
201005	119	3
201005	829	17
201006	0	528243
201006	1	111027
201006	2	65413
201006	3	36114
201006	4	69167
201006	5	3819
201006	6	10886
201006	7	602
201006	9	22
201006	10	23695
201006	11	966
201006	12	13
201006	13	53
201006	14	31463
201006	15	779
201006	100	2354
201006	101	103
201006	108	466
201006	109	158
201006	118	9
201006	119	6
201006	829	6
201007	0	283981
201007	1	96449
201007	2	55110
201007	3	32478
201007	4	68199
201007	5	4163
201007	6	1112
201007	7	210
201007	9	24
201007	10	7060
201007	11	431
201007	12	12
201007	13	71
201007	14	18947
201007	15	2827
201007	100	1794
201007	101	53
201007	108	70
201007	109	82
201007	118	2
201007	119	1
201007	829	15
201008	0	390128
201008	1	64211
201008	2	54586
201008	3	63991
201008	4	89865
201008	5	4024
201008	6	1374
201008	7	106
201008	9	24
201008	10	6743
201008	11	1983
201008	12	11
201008	13	63
201008	14	22123
201008	15	1420
201008	100	2307
201008	101	82
201008	108	47
201008	109	85
201008	118	9
201008	119	1
201008	829	76
201009	0	520270
201009	1	47331
201009	2	65120
201009	3	128217
201009	4	71231
201009	5	6132
201009	6	912
201009	7	74
201009	9	9
201009	10	5994
201009	11	606
201009	12	8
201009	13	68
201009	14	64263
201009	15	381
201009	100	2324
201009	101	103
201009	108	45
201009	109	51
201009	118	15
201009	119	1
201009	829	22
201010	0	651104
201010	1	66075
201010	2	58905
201010	3	53571
201010	4	79129
201010	5	4918
201010	6	7207
201010	7	64
201010	9	41
201010	10	7060
201010	11	542
201010	12	6
201010	13	86
201010	14	117254
201010	15	170
201010	100	2538
201010	101	97
201010	109	1
201010	118	10
201010	119	1
201010	829	4
201011	0	578699
201011	1	167471
201011	2	49072
201011	3	89405
201011	4	75581
201011	5	4221
201011	6	1111
201011	7	250
201011	9	19
201011	10	8699
201011	11	980
201011	12	8
201011	13	51
201011	14	25145
201011	15	5545
201011	100	2007
201011	101	49
201011	108	3
201011	109	78
201011	118	9
201011	119	8
201011	829	21
201012	0	520893
201012	1	47161
201012	2	53196
201012	3	79311
201012	4	80678
201012	5	3753
201012	6	4666
201012	7	130
201012	9	20
201012	10	7692
201012	11	375
201012	12	36
201012	13	48
201012	14	19139
201012	15	2776
201012	100	1525
201012	101	29
201012	108	1
201012	109	15
201012	118	15
201012	829	35
201101	0	484551
201101	1	92312
201101	2	49149
201101	3	95532
201101	4	85436
201101	5	4015
201101	6	2993
201101	7	78
201101	9	15
201101	10	7324
201101	11	643
201101	12	39
201101	13	56
201101	14	29081
201101	15	440
201101	100	1133
201101	101	59
201101	109	16
201101	118	17
201101	829	12
201102	0	333836
201102	1	50383
201102	2	47385
201102	3	78849
201102	4	73058
201102	5	3282
201102	6	3743
201102	7	15746
201102	9	15
201102	10	5311
201102	11	377
201102	12	20
201102	13	42
201102	14	21043
201102	15	443
201102	100	966
201102	101	32
201102	108	2
201102	109	1908
201102	118	24
201102	119	1
201102	829	14
201103	0	326953
201103	1	31625
201103	2	44371
201103	3	77810
201103	4	78360
201103	5	3377
201103	6	1653
201103	7	94
201103	9	18
201103	10	11174
201103	11	365
201103	12	7
201103	13	73
201103	14	21772
201103	15	1068
201103	100	1850
201103	101	32
201103	108	1
201103	109	4814
201103	118	10
201103	829	9
201104	0	488375
201104	1	26929
201104	2	32157
201104	3	38119
201104	4	67704
201104	5	3357
201104	6	1201
201104	7	63
201104	9	21
201104	10	12551
201104	11	299
201104	12	20
201104	13	53
201104	14	20075
201104	15	29
201104	100	1743
201104	101	541
201104	108	2
201104	109	4232
201104	118	17
201104	119	2
201104	828	2
201104	829	7
201105	0	374090
201105	1	39207
201105	2	52199
201105	3	76970
201105	4	83363
201105	5	3532
201105	6	1009
201105	7	56
201105	9	21
201105	10	6148
201105	11	310
201105	12	6
201105	13	51
201105	14	17519
201105	15	37
201105	100	1664
201105	101	18
201105	109	1284
201105	118	10
201105	829	16
201106	0	450993
201106	1	93885
201106	2	56591
201106	3	65243
201106	4	88333
201106	5	3621
201106	6	2250
201106	7	400
201106	9	17
201106	10	6456
201106	11	516
201106	12	22
201106	13	53
201106	14	26648
201106	15	640
201106	100	1772
201106	101	65
201106	108	2
201106	109	2411
201106	118	13
201106	119	4
201106	829	11
201107	0	482386
201107	1	46898
201107	2	58016
201107	3	65232
201107	4	84308
201107	5	3571
201107	6	5535
201107	7	308
201107	9	11
201107	10	6720
201107	11	483
201107	12	25
201107	13	69
201107	14	23525
201107	15	149
201107	100	1583
201107	101	62
201107	108	2
201107	109	2713
201107	118	24
201107	119	2
201107	829	27
201108	0	318738
201108	1	67325
201108	2	55078
201108	3	60873
201108	4	86038
201108	5	4867
201108	6	43355
201108	7	207
201108	9	19
201108	10	15972
201108	11	1477
201108	12	9
201108	13	50
201108	14	44819
201108	15	6772
201108	100	1909
201108	101	74
201108	108	5
201108	109	5334
201108	118	2
201108	119	3
201108	829	11
201109	0	463079
201109	1	42441
201109	2	53933
201109	3	71866
201109	4	77784
201109	5	4358
201109	6	249259
201109	7	58
201109	9	8
201109	10	8185
201109	11	459
201109	12	14
201109	13	58
201109	14	30083
201109	15	120
201109	100	1218
201109	101	81
201109	108	34
201109	109	3061
201109	118	21
201109	119	1
201109	829	7
201110	0	330896
201110	1	43973
201110	2	48134
201110	3	83536
201110	4	75091
201110	5	4468
201110	6	2721
201110	7	70
201110	9	18
201110	10	8831
201110	11	411
201110	12	9
201110	13	40
201110	14	32528
201110	15	26
201110	100	1235
201110	101	63
201110	108	8
201110	109	3794
201110	118	12
201110	119	1
201110	829	9
201111	0	246857
201111	1	51725
201111	2	42134
201111	3	82409
201111	4	69103
201111	5	4529
201111	6	43367
201111	7	1981
201111	9	24
201111	10	6645
201111	11	1005
201111	12	11
201111	13	56
201111	14	26152
201111	15	64
201111	100	823
201111	101	78
201111	108	5
201111	109	3451
201111	118	5
201111	119	1
201111	829	33
201112	0	312800
201112	1	106855
201112	2	52512
201112	3	89863
201112	4	74533
201112	5	3718
201112	6	177008
201112	7	74
201112	9	17
201112	10	8043
201112	11	789
201112	12	15
201112	13	39
201112	14	32701
201112	15	1501
201112	100	1038
201112	101	99
201112	108	4
201112	109	4711
201112	118	17
201112	119	1
201112	829	8
201201	0	419100
201201	1	60773
201201	2	58509
201201	3	92112
201201	4	91961
201201	5	3389
201201	6	16636
201201	7	68
201201	9	35
201201	10	9236
201201	11	824
201201	12	13
201201	13	47
201201	14	27072
201201	15	854
201201	100	1059
201201	101	68
201201	108	7
201201	109	4932
201201	118	11
201201	119	1
201201	829	2
201202	0	387281
201202	1	76570
201202	2	51612
201202	3	92529
201202	4	87461
201202	5	2967
201202	6	67105
201202	7	788
201202	9	20
201202	10	5340
201202	11	1240
201202	12	14
201202	13	36
201202	14	27011
201202	15	5124
201202	100	997
201202	101	311
201202	108	6
201202	109	4366
201202	118	14
201202	829	12
201203	0	396407
201203	1	29811
201203	2	53139
201203	3	86377
201203	4	76955
201203	5	2785
201203	6	68067
201203	7	94
201203	8	3
201203	9	23
201203	10	20784
201203	11	471
201203	12	31
201203	13	34
201203	14	23444
201203	15	58
201203	100	1612
201203	101	93
201203	108	6
201203	109	4733
201203	118	13
201203	119	1
201203	829	13
201204	0	296182
201204	1	32062
201204	2	57758
201204	3	82863
201204	4	76519
201204	5	3089
201204	6	870
201204	7	85
201204	8	1
201204	9	39
201204	10	10882
201204	11	374
201204	12	16
201204	13	54
201204	14	24769
201204	15	66
201204	100	1271
201204	101	75
201204	108	6
201204	109	5098
201204	118	92
201204	119	2
201204	829	18
201205	0	508888
201205	1	25764
201205	2	46704
201205	3	71998
201205	4	74194
201205	5	3116
201205	6	352
201205	7	72
201205	8	2
201205	9	18
201205	10	19253
201205	11	484
201205	12	9
201205	13	71
201205	14	37347
201205	15	232
201205	100	1026
201205	101	71
201205	108	7
201205	109	3776
201205	118	11
201205	829	16
201206	0	292261
201206	1	30754
201206	2	51768
201206	3	62873
201206	4	67421
201206	5	3114
201206	6	1098
201206	7	88
201206	8	1
201206	9	30
201206	10	11241
201206	11	337
201206	12	17
201206	13	38
201206	14	30728
201206	15	76
201206	100	895
201206	101	72
201206	108	5
201206	109	7364
201206	118	19
201206	829	19
201207	0	383432
201207	1	119154
201207	2	44600
201207	3	57298
201207	4	48756
201207	5	3175
201207	6	47678
201207	7	63
201207	8	1
201207	9	27
201207	10	23053
